Category,Region,Year,Unit,Value
Total,Regiunea NORD-EST,2018, Thousands hectares,1199.9
Total,Regiunea NORD-EST,2019, Thousands hectares,1200.3
Total,Bacau,1990, Thousands hectares,266.7
Total,Bacau,1991, Thousands hectares,266.3
Total,Bacau,1992, Thousands hectares,284.3
Total,Bacau,1993, Thousands hectares,266.7
Total,Bacau,1994, Thousands hectares,267.0
Total,Bacau,1995, Thousands hectares,266.9
Total,Bacau,1996, Thousands hectares,266.5
Total,Bacau,1997, Thousands hectares,266.6
Total,Bacau,1998, Thousands hectares,267.0
Total,Bacau,1999, Thousands hectares,266.8
Total,Bacau,2000, Thousands hectares,266.6
Total,Bacau,2001, Thousands hectares,266.6
Total,Bacau,2002, Thousands hectares,266.6
Total,Bacau,2003, Thousands hectares,269.6
Total,Bacau,2004, Thousands hectares,271.5
Total,Bacau,2005, Thousands hectares,271.3
Total,Bacau,2006, Thousands hectares,267.9
Total,Bacau,2007, Thousands hectares,268.8
Total,Bacau,2008, Thousands hectares,268.8
Total,Bacau,2009, Thousands hectares,269.1
Total,Bacau,2010, Thousands hectares,269.9
Total,Bacau,2011, Thousands hectares,270.2
Total,Bacau,2012, Thousands hectares,270.2
Total,Bacau,2013, Thousands hectares,270.2
Total,Bacau,2014, Thousands hectares,270.2
Total,Bacau,2015, Thousands hectares,269.9
Total,Bacau,2016, Thousands hectares,270.2
Total,Bacau,2017, Thousands hectares,270.4
Total,Bacau,2018, Thousands hectares,271.7
Total,Bacau,2019, Thousands hectares,272.2
Total,Botosani,1990, Thousands hectares,55.7
Total,Botosani,1991, Thousands hectares,55.7
Total,Botosani,1992, Thousands hectares,55.7
Total,Botosani,1993, Thousands hectares,55.7
Total,Botosani,1994, Thousands hectares,55.9
Total,Botosani,1995, Thousands hectares,55.8
Total,Botosani,1996, Thousands hectares,55.8
Total,Botosani,1997, Thousands hectares,55.8
Total,Botosani,1998, Thousands hectares,55.8
Total,Botosani,1999, Thousands hectares,55.8
Total,Botosani,2000, Thousands hectares,55.8
Total,Botosani,2001, Thousands hectares,55.8
Total,Botosani,2002, Thousands hectares,56.0
Total,Botosani,2003, Thousands hectares,56.0
Total,Botosani,2004, Thousands hectares,56.0
Total,Botosani,2005, Thousands hectares,56.1
Total,Botosani,2006, Thousands hectares,56.3
Total,Botosani,2007, Thousands hectares,56.4
Total,Botosani,2008, Thousands hectares,56.4
Total,Botosani,2009, Thousands hectares,56.4
Total,Botosani,2010, Thousands hectares,56.4
Total,Botosani,2011, Thousands hectares,56.4
Total,Botosani,2012, Thousands hectares,56.4
Total,Botosani,2013, Thousands hectares,56.5
Total,Botosani,2014, Thousands hectares,56.8
Total,Botosani,2015, Thousands hectares,57.0
Total,Botosani,2016, Thousands hectares,57.0
Total,Botosani,2017, Thousands hectares,57.0
Total,Botosani,2018, Thousands hectares,57.0
Total,Botosani,2019, Thousands hectares,57.0
Total,Iasi,1990, Thousands hectares,97.2
Total,Iasi,1991, Thousands hectares,96.8
Total,Iasi,1992, Thousands hectares,96.6
Total,Iasi,1993, Thousands hectares,96.6
Total,Iasi,1994, Thousands hectares,97.0
Total,Iasi,1995, Thousands hectares,96.8
Total,Iasi,1996, Thousands hectares,96.8
Total,Iasi,1997, Thousands hectares,96.9
Total,Iasi,1998, Thousands hectares,96.6
Total,Iasi,1999, Thousands hectares,96.9
Total,Iasi,2000, Thousands hectares,97.2
Total,Iasi,2001, Thousands hectares,97.2
Total,Iasi,2002, Thousands hectares,97.2
Total,Iasi,2003, Thousands hectares,97.2
Total,Iasi,2004, Thousands hectares,97.6
Total,Iasi,2005, Thousands hectares,97.7
Total,Iasi,2006, Thousands hectares,97.5
Total,Iasi,2007, Thousands hectares,97.4
Total,Iasi,2008, Thousands hectares,97.8
Total,Iasi,2009, Thousands hectares,97.6
Total,Iasi,2010, Thousands hectares,97.6
Total,Iasi,2011, Thousands hectares,97.7
Total,Iasi,2012, Thousands hectares,97.6
Total,Iasi,2013, Thousands hectares,97.7
Total,Iasi,2014, Thousands hectares,97.6
Total,Iasi,2015, Thousands hectares,97.8
Total,Iasi,2016, Thousands hectares,97.8
Total,Iasi,2017, Thousands hectares,97.9
Total,Iasi,2018, Thousands hectares,98.0
Total,Iasi,2019, Thousands hectares,98.0
Total,Neamt,1990, Thousands hectares,260.4
Total,Neamt,1991, Thousands hectares,260.6
Total,Neamt,1992, Thousands hectares,242.8
Total,Neamt,1993, Thousands hectares,260.5
Total,Neamt,1994, Thousands hectares,260.5
Total,Neamt,1995, Thousands hectares,260.5
Total,Neamt,1996, Thousands hectares,260.4
Total,Neamt,1997, Thousands hectares,260.4
Total,Neamt,1998, Thousands hectares,260.1
Total,Neamt,1999, Thousands hectares,260.0
Total,Neamt,2000, Thousands hectares,259.9
Total,Neamt,2001, Thousands hectares,259.8
Total,Neamt,2002, Thousands hectares,260.1
Total,Neamt,2003, Thousands hectares,259.2
Total,Neamt,2004, Thousands hectares,259.0
Total,Neamt,2005, Thousands hectares,261.3
Total,Neamt,2006, Thousands hectares,258.5
Total,Neamt,2007, Thousands hectares,258.4
Total,Neamt,2008, Thousands hectares,259.0
Total,Neamt,2009, Thousands hectares,258.9
Total,Neamt,2010, Thousands hectares,259.0
Total,Neamt,2011, Thousands hectares,259.0
Total,Neamt,2012, Thousands hectares,259.3
Total,Neamt,2013, Thousands hectares,259.2
Total,Neamt,2014, Thousands hectares,260.1
Total,Neamt,2015, Thousands hectares,261.8
Total,Neamt,2016, Thousands hectares,262.0
Total,Neamt,2017, Thousands hectares,262.2
Total,Neamt,2018, Thousands hectares,262.4
Total,Neamt,2019, Thousands hectares,262.5
Total,Suceava,1990, Thousands hectares,436.1
Total,Suceava,1991, Thousands hectares,435.8
Total,Suceava,1992, Thousands hectares,435.6
Total,Suceava,1993, Thousands hectares,435.6
Total,Suceava,1994, Thousands hectares,435.5
Total,Suceava,1995, Thousands hectares,435.2
Total,Suceava,1996, Thousands hectares,435.2
Total,Suceava,1997, Thousands hectares,435.1
Total,Suceava,1998, Thousands hectares,435.3
Total,Suceava,1999, Thousands hectares,435.3
Total,Suceava,2000, Thousands hectares,434.8
Total,Suceava,2001, Thousands hectares,434.8
Total,Suceava,2002, Thousands hectares,434.9
Total,Suceava,2003, Thousands hectares,435.1
Total,Suceava,2004, Thousands hectares,435.1
Total,Suceava,2005, Thousands hectares,435.0
Total,Suceava,2006, Thousands hectares,435.0
Total,Suceava,2007, Thousands hectares,435.0
Total,Suceava,2008, Thousands hectares,435.2
Total,Suceava,2009, Thousands hectares,435.3
Total,Suceava,2010, Thousands hectares,435.3
Total,Suceava,2011, Thousands hectares,436.1
Total,Suceava,2012, Thousands hectares,436.4
Total,Suceava,2013, Thousands hectares,436.7
Total,Suceava,2014, Thousands hectares,437.1
Total,Suceava,2015, Thousands hectares,437.5
Total,Suceava,2016, Thousands hectares,437.8
Total,Suceava,2017, Thousands hectares,437.8
Total,Suceava,2018, Thousands hectares,437.8
Total,Suceava,2019, Thousands hectares,437.9
Total,Vaslui,1990, Thousands hectares,70.5
Total,Vaslui,1991, Thousands hectares,70.5
Total,Vaslui,1992, Thousands hectares,70.4
Total,Vaslui,1993, Thousands hectares,70.3
Total,Vaslui,1994, Thousands hectares,70.5
Total,Vaslui,1995, Thousands hectares,70.5
Total,Vaslui,1996, Thousands hectares,70.5
Total,Vaslui,1997, Thousands hectares,70.5
Total,Vaslui,1998, Thousands hectares,70.8
Total,Vaslui,1999, Thousands hectares,70.5
Total,Vaslui,2000, Thousands hectares,70.5
Total,Vaslui,2001, Thousands hectares,70.6
Total,Vaslui,2002, Thousands hectares,70.4
Total,Vaslui,2003, Thousands hectares,70.9
Total,Vaslui,2004, Thousands hectares,71.6
Total,Vaslui,2005, Thousands hectares,71.9
Total,Vaslui,2006, Thousands hectares,73.9
Total,Vaslui,2007, Thousands hectares,72.4
Total,Vaslui,2008, Thousands hectares,64.0
Total,Vaslui,2009, Thousands hectares,72.5
Total,Vaslui,2010, Thousands hectares,72.5
Total,Vaslui,2011, Thousands hectares,72.6
Total,Vaslui,2012, Thousands hectares,72.5
Total,Vaslui,2013, Thousands hectares,72.2
Total,Vaslui,2014, Thousands hectares,72.3
Total,Vaslui,2015, Thousands hectares,72.4
Total,Vaslui,2016, Thousands hectares,72.6
Total,Vaslui,2017, Thousands hectares,72.8
Total,Vaslui,2018, Thousands hectares,73.0
Total,Vaslui,2019, Thousands hectares,72.7
Total,Regiunea SUD-EST,1990, Thousands hectares,541.9
Total,Regiunea SUD-EST,1991, Thousands hectares,539.6
Total,Regiunea SUD-EST,1992, Thousands hectares,539.7
Total,Regiunea SUD-EST,1993, Thousands hectares,540.0
Total,Regiunea SUD-EST,1994, Thousands hectares,542.7
Total,Regiunea SUD-EST,1995, Thousands hectares,543.3
Total,Regiunea SUD-EST,1996, Thousands hectares,541.3
Total,Regiunea SUD-EST,1997, Thousands hectares,542.0
Total,Regiunea SUD-EST,1998, Thousands hectares,541.6
Total,Regiunea SUD-EST,1999, Thousands hectares,541.6
Total,Regiunea SUD-EST,2000, Thousands hectares,541.5
Total,Regiunea SUD-EST,2001, Thousands hectares,541.2
Total,Regiunea SUD-EST,2002, Thousands hectares,550.2
Total,Regiunea SUD-EST,2003, Thousands hectares,542.6
Total,Regiunea SUD-EST,2004, Thousands hectares,551.2
Total,Regiunea SUD-EST,2005, Thousands hectares,550.6
Total,Regiunea SUD-EST,2006, Thousands hectares,542.8
Total,Regiunea SUD-EST,2007, Thousands hectares,551.9
Total,Regiunea SUD-EST,2008, Thousands hectares,547.1
Total,Regiunea SUD-EST,2009, Thousands hectares,551.8
Total,Regiunea SUD-EST,2010, Thousands hectares,552.2
Total,Regiunea SUD-EST,2011, Thousands hectares,548.7
Total,Regiunea SUD-EST,2012, Thousands hectares,551.4
Total,Regiunea SUD-EST,2013, Thousands hectares,548.1
Total,Regiunea SUD-EST,2014, Thousands hectares,548.3
Total,Regiunea SUD-EST,2015, Thousands hectares,550.6
Total,Regiunea SUD-EST,2016, Thousands hectares,551.0
Total,Regiunea SUD-EST,2017, Thousands hectares,551.3
Total,Regiunea SUD-EST,2018, Thousands hectares,551.8
Total,Regiunea SUD-EST,2019, Thousands hectares,553.5
Total,Braila,1990, Thousands hectares,24.2
Total,Braila,1991, Thousands hectares,24.2
Total,Braila,1992, Thousands hectares,24.2
Total,Braila,1993, Thousands hectares,24.2
Total,Braila,1994, Thousands hectares,25.7
Total,Braila,1995, Thousands hectares,25.5
Total,Braila,1996, Thousands hectares,25.9
Total,Braila,1997, Thousands hectares,25.9
Total,Braila,1998, Thousands hectares,25.9
Total,Braila,1999, Thousands hectares,25.9
Total,Braila,2000, Thousands hectares,25.8
Total,Braila,2001, Thousands hectares,25.5
Total,Braila,2002, Thousands hectares,26.0
Total,Braila,2003, Thousands hectares,25.9
Total,Braila,2004, Thousands hectares,27.2
Total,Braila,2005, Thousands hectares,27.2
Total,Braila,2006, Thousands hectares,27.1
Total,Braila,2007, Thousands hectares,26.9
Total,Braila,2008, Thousands hectares,24.9
Total,Braila,2009, Thousands hectares,27.3
Total,Braila,2010, Thousands hectares,27.2
Total,Braila,2011, Thousands hectares,27.2
Total,Braila,2012, Thousands hectares,27.9
Total,Braila,2013, Thousands hectares,27.9
Total,Braila,2014, Thousands hectares,27.9
Total,Braila,2015, Thousands hectares,28.0
Total,Braila,2016, Thousands hectares,28.0
Total,Braila,2017, Thousands hectares,28.1
Total,Braila,2018, Thousands hectares,28.1
Total,Braila,2019, Thousands hectares,28.1
Total,Buzau,1990, Thousands hectares,158.4
Total,Buzau,1991, Thousands hectares,158.2
Total,Buzau,1992, Thousands hectares,158.2
Total,Buzau,1993, Thousands hectares,158.9
Total,Buzau,1994, Thousands hectares,159.7
Total,Buzau,1995, Thousands hectares,158.8
Total,Buzau,1996, Thousands hectares,158.4
Total,Buzau,1997, Thousands hectares,158.3
Total,Buzau,1998, Thousands hectares,158.3
Total,Buzau,1999, Thousands hectares,158.2
Total,Buzau,2000, Thousands hectares,158.2
Total,Buzau,2001, Thousands hectares,158.0
Total,Buzau,2002, Thousands hectares,157.6
Total,Buzau,2003, Thousands hectares,157.8
Total,Buzau,2004, Thousands hectares,158.0
Total,Buzau,2005, Thousands hectares,158.3
Total,Buzau,2006, Thousands hectares,152.0
Total,Buzau,2007, Thousands hectares,159.5
Total,Buzau,2008, Thousands hectares,159.6
Total,Buzau,2009, Thousands hectares,158.2
Total,Buzau,2010, Thousands hectares,158.5
Total,Buzau,2011, Thousands hectares,159.6
Total,Buzau,2012, Thousands hectares,160.8
Total,Buzau,2013, Thousands hectares,160.4
Total,Buzau,2014, Thousands hectares,160.1
Total,Buzau,2015, Thousands hectares,160.2
Total,Buzau,2016, Thousands hectares,160.5
Total,Buzau,2017, Thousands hectares,160.5
Total,Buzau,2018, Thousands hectares,160.8
Total,Buzau,2019, Thousands hectares,160.8
Total,Constanta,1990, Thousands hectares,37.6
Total,Constanta,1991, Thousands hectares,35.5
Total,Constanta,1992, Thousands hectares,35.5
Total,Constanta,1993, Thousands hectares,35.5
Total,Constanta,1994, Thousands hectares,35.5
Total,Constanta,1995, Thousands hectares,35.5
Total,Constanta,1996, Thousands hectares,35.5
Total,Constanta,1997, Thousands hectares,35.5
Total,Constanta,1998, Thousands hectares,35.2
Total,Constanta,1999, Thousands hectares,35.3
Total,Constanta,2000, Thousands hectares,35.4
Total,Constanta,2001, Thousands hectares,35.4
Total,Constanta,2002, Thousands hectares,35.4
Total,Constanta,2003, Thousands hectares,35.4
Total,Constanta,2004, Thousands hectares,39.9
Total,Constanta,2005, Thousands hectares,39.9
Total,Constanta,2006, Thousands hectares,39.0
Total,Constanta,2007, Thousands hectares,39.0
Total,Constanta,2008, Thousands hectares,39.0
Total,Constanta,2009, Thousands hectares,38.9
Total,Constanta,2010, Thousands hectares,39.0
Total,Constanta,2011, Thousands hectares,39.0
Total,Constanta,2012, Thousands hectares,38.9
Total,Constanta,2013, Thousands hectares,38.9
Total,Constanta,2014, Thousands hectares,39.0
Total,Constanta,2015, Thousands hectares,39.1
Total,Constanta,2016, Thousands hectares,39.2
Total,Constanta,2017, Thousands hectares,39.4
Total,Constanta,2018, Thousands hectares,39.4
Total,Constanta,2019, Thousands hectares,39.5
Total,Galati,1990, Thousands hectares,36.5
Total,Galati,1991, Thousands hectares,36.5
Total,Galati,1992, Thousands hectares,36.5
Total,Galati,1993, Thousands hectares,36.5
Total,Galati,1994, Thousands hectares,36.6
Total,Galati,1995, Thousands hectares,36.4
Total,Galati,1996, Thousands hectares,36.4
Total,Galati,1997, Thousands hectares,36.2
Total,Galati,1998, Thousands hectares,36.3
Total,Galati,1999, Thousands hectares,36.3
Total,Galati,2000, Thousands hectares,36.3
Total,Galati,2001, Thousands hectares,36.3
Total,Galati,2002, Thousands hectares,36.5
Total,Galati,2003, Thousands hectares,36.5
Total,Galati,2004, Thousands hectares,37.0
Total,Galati,2005, Thousands hectares,36.9
Total,Galati,2006, Thousands hectares,36.3
Total,Galati,2007, Thousands hectares,37.1
Total,Galati,2008, Thousands hectares,37.7
Total,Galati,2009, Thousands hectares,37.7
Total,Galati,2010, Thousands hectares,37.7
Total,Galati,2011, Thousands hectares,37.6
Total,Galati,2012, Thousands hectares,37.7
Total,Galati,2013, Thousands hectares,37.1
Total,Galati,2014, Thousands hectares,37.2
Total,Galati,2015, Thousands hectares,37.2
Total,Galati,2016, Thousands hectares,37.2
Total,Galati,2017, Thousands hectares,37.1
Total,Galati,2018, Thousands hectares,37.2
Total,Galati,2019, Thousands hectares,37.1
Total,Tulcea,1990, Thousands hectares,101.8
Total,Tulcea,1991, Thousands hectares,102.0
Total,Tulcea,1992, Thousands hectares,102.0
Total,Tulcea,1993, Thousands hectares,101.8
Total,Tulcea,1994, Thousands hectares,102.1
Total,Tulcea,1995, Thousands hectares,101.6
Total,Tulcea,1996, Thousands hectares,101.6
Total,Tulcea,1997, Thousands hectares,102.2
Total,Tulcea,1998, Thousands hectares,102.2
Total,Tulcea,1999, Thousands hectares,102.2
Total,Tulcea,2000, Thousands hectares,102.2
Total,Tulcea,2001, Thousands hectares,102.2
Total,Tulcea,2002, Thousands hectares,103.0
Total,Tulcea,2003, Thousands hectares,103.0
Total,Tulcea,2004, Thousands hectares,103.3
Total,Tulcea,2005, Thousands hectares,103.8
Total,Tulcea,2006, Thousands hectares,104.2
Total,Tulcea,2007, Thousands hectares,104.2
Total,Tulcea,2008, Thousands hectares,104.2
Total,Tulcea,2009, Thousands hectares,104.5
Total,Tulcea,2010, Thousands hectares,104.6
Total,Tulcea,2011, Thousands hectares,104.6
Total,Tulcea,2012, Thousands hectares,104.6
Total,Tulcea,2013, Thousands hectares,104.6
Total,Tulcea,2014, Thousands hectares,104.8
Total,Tulcea,2015, Thousands hectares,104.9
Total,Tulcea,2016, Thousands hectares,105.0
Total,Tulcea,2017, Thousands hectares,104.9
Total,Tulcea,2018, Thousands hectares,105.0
Total,Tulcea,2019, Thousands hectares,105.0
Total,Vrancea,1990, Thousands hectares,183.4
Total,Vrancea,1991, Thousands hectares,183.2
Total,Vrancea,1992, Thousands hectares,183.3
Total,Vrancea,1993, Thousands hectares,183.1
Total,Vrancea,1994, Thousands hectares,183.1
Total,Vrancea,1995, Thousands hectares,185.5
Total,Vrancea,1996, Thousands hectares,183.5
Total,Vrancea,1997, Thousands hectares,183.9
Total,Vrancea,1998, Thousands hectares,183.7
Total,Vrancea,1999, Thousands hectares,183.7
Total,Vrancea,2000, Thousands hectares,183.6
Total,Vrancea,2001, Thousands hectares,183.8
Total,Vrancea,2002, Thousands hectares,191.7
Total,Vrancea,2003, Thousands hectares,184.0
Total,Vrancea,2004, Thousands hectares,185.8
Total,Vrancea,2005, Thousands hectares,184.5
Total,Vrancea,2006, Thousands hectares,184.2
Total,Vrancea,2007, Thousands hectares,185.2
Total,Vrancea,2008, Thousands hectares,181.7
Total,Vrancea,2009, Thousands hectares,185.2
Total,Vrancea,2010, Thousands hectares,185.2
Total,Vrancea,2011, Thousands hectares,180.7
Total,Vrancea,2012, Thousands hectares,181.5
Total,Vrancea,2013, Thousands hectares,179.2
Total,Vrancea,2014, Thousands hectares,179.3
Total,Vrancea,2015, Thousands hectares,181.2
Total,Vrancea,2016, Thousands hectares,181.1
Total,Vrancea,2017, Thousands hectares,181.3
Total,Vrancea,2018, Thousands hectares,181.3
Total,Vrancea,2019, Thousands hectares,183.0
Total,MACROREGIUNEA TREI,1990, Thousands hectares,687.2
Total,MACROREGIUNEA TREI,1991, Thousands hectares,686.8
Total,MACROREGIUNEA TREI,1992, Thousands hectares,686.7
Total,MACROREGIUNEA TREI,1993, Thousands hectares,686.1
Total,MACROREGIUNEA TREI,1994, Thousands hectares,685.9
Total,MACROREGIUNEA TREI,1995, Thousands hectares,687.2
Total,MACROREGIUNEA TREI,1996, Thousands hectares,687.5
Total,MACROREGIUNEA TREI,1997, Thousands hectares,686.8
Total,MACROREGIUNEA TREI,1998, Thousands hectares,686.4
Total,MACROREGIUNEA TREI,1999, Thousands hectares,686.3
Total,MACROREGIUNEA TREI,2000, Thousands hectares,685.8
Total,MACROREGIUNEA TREI,2001, Thousands hectares,686.0
Total,MACROREGIUNEA TREI,2002, Thousands hectares,685.8
Total,MACROREGIUNEA TREI,2003, Thousands hectares,682.4
Total,MACROREGIUNEA TREI,2004, Thousands hectares,682.6
Total,MACROREGIUNEA TREI,2005, Thousands hectares,683.7
Total,MACROREGIUNEA TREI,2006, Thousands hectares,685.6
Total,MACROREGIUNEA TREI,2007, Thousands hectares,683.8
Total,MACROREGIUNEA TREI,2008, Thousands hectares,683.7
Total,MACROREGIUNEA TREI,2009, Thousands hectares,683.3
Total,MACROREGIUNEA TREI,2010, Thousands hectares,685.5
Total,MACROREGIUNEA TREI,2011, Thousands hectares,685.0
Total,MACROREGIUNEA TREI,2012, Thousands hectares,685.1
Total,MACROREGIUNEA TREI,2013, Thousands hectares,685.1
Total,MACROREGIUNEA TREI,2014, Thousands hectares,685.2
Total,MACROREGIUNEA TREI,2015, Thousands hectares,685.2
Total,MACROREGIUNEA TREI,2016, Thousands hectares,685.3
Total,MACROREGIUNEA TREI,2017, Thousands hectares,685.9
Total,MACROREGIUNEA TREI,2018, Thousands hectares,685.2
Total,MACROREGIUNEA TREI,2019, Thousands hectares,685.4
Total,Regiunea SUD-MUNTENIA,1990, Thousands hectares,660.9
Total,Regiunea SUD-MUNTENIA,1991, Thousands hectares,666.9
Total,Regiunea SUD-MUNTENIA,1992, Thousands hectares,660.4
Total,Regiunea SUD-MUNTENIA,1993, Thousands hectares,659.9
